,Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
16993,02/04/2024,Cork University Hospital,28.0,15.0,43.0,21.0,28.0,7.0,,HSE South West
16994,02/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
16995,02/04/2024,Mercy University Hospital,0.0,0.0,0.0,8.0,5.0,,,HSE South West
16996,02/04/2024,South Infirmary Victoria University Hospital,,,,,5.0,,,HSE South West
16997,02/04/2024,UH Kerry,8.0,7.0,15.0,14.0,19.0,3.0,,HSE South West
16999,02/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17000,02/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17001,02/04/2024,St. John's Hospital Limerick,,,,,3.0,,,HSE Mid West
17002,02/04/2024,UH Limerick,19.0,40.0,59.0,34.0,12.0,31.0,7,HSE Mid West
17004,02/04/2024,Galway University Hospital,29.0,8.0,37.0,22.0,27.0,2.0,1,HSE West and North West
17005,02/04/2024,Letterkenny University Hospital,6.0,10.0,16.0,20.0,19.0,4.0,,HSE West and North West
17006,02/04/2024,Mayo University Hospital,1.0,3.0,4.0,4.0,8.0,1.0,,HSE West and North West
17007,02/04/2024,Portiuncula University Hospital,2.0,0.0,2.0,9.0,7.0,,,HSE West and North West
17008,02/04/2024,Roscommon University Hospital,,,,,4.0,,,HSE West and North West
17009,02/04/2024,Sligo University Hospital,1.0,2.0,3.0,16.0,18.0,1.0,,HSE West and North West
17012,03/04/2024,Beaumont Hospital,11.0,0.0,11.0,6.0,13.0,,,HSE Dublin and North East
17013,03/04/2024,Cavan General Hospital,5.0,0.0,5.0,5.0,3.0,,,HSE Dublin and North East
17014,03/04/2024,Connolly Hospital,19.0,0.0,19.0,13.0,6.0,,,HSE Dublin and North East
17015,03/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17016,03/04/2024,Mater Misericordiae University Hospital,5.0,,5.0,7.0,17.0,,,HSE Dublin and North East
17017,03/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17018,03/04/2024,Our Lady of Lourdes Hospital,19.0,0.0,19.0,24.0,1.0,,,HSE Dublin and North East
17019,03/04/2024,Our Lady's Hospital Navan,0.0,,0.0,1.0,1.0,,,HSE Dublin and North East
17021,03/04/2024,CHI at Crumlin,10.0,,10.0,0.0,4.0,,,HSE Dublin and Midlands
17022,03/04/2024,CHI at Tallaght,1.0,0.0,1.0,0.0,1.0,,,HSE Dublin and Midlands
17023,03/04/2024,CHI at Temple Street,1.0,,1.0,,4.0,,,HSE Dublin and Midlands
17024,03/04/2024,MRH Mullingar,4.0,0.0,4.0,7.0,0.0,1.0,,HSE Dublin and Midlands
17025,03/04/2024,MRH Portlaoise,2.0,0.0,2.0,6.0,7.0,,,HSE Dublin and Midlands
17026,03/04/2024,MRH Tullamore,0.0,0.0,0.0,23.0,1.0,,,HSE Dublin and Midlands
17027,03/04/2024,Naas General Hospital,10.0,4.0,14.0,7.0,11.0,,,HSE Dublin and Midlands
17028,03/04/2024,St. James's Hospital,32.0,0.0,32.0,37.0,25.0,2.0,,HSE Dublin and Midlands
17029,03/04/2024,St. Luke's Radiation Oncology Network,,,,,1.0,,,HSE Dublin and Midlands
17030,03/04/2024,Tallaght University Hospital,25.0,5.0,30.0,19.0,11.0,5.0,,HSE Dublin and Midlands
17032,03/04/2024,National Rehabilitation Hospital,,,,,13.0,,,HSE Dublin and South East
17033,03/04/2024,St. Columcille's Hospital,,,,,3.0,,,HSE Dublin and South East
17034,03/04/2024,St Luke's General Hospital Kilkenny,6.0,0.0,6.0,44.0,10.0,,,HSE Dublin and South East
17035,03/04/2024,St. Michael's Hospital,,,,,4.0,,,HSE Dublin and South East
17036,03/04/2024,St. Vincent's University Hospital,32.0,0.0,32.0,60.0,23.0,12.0,2,HSE Dublin and South East
17037,03/04/2024,Tipperary University Hospital,18.0,,18.0,26.0,12.0,4.0,1,HSE Dublin and South East
17038,03/04/2024,UH Waterford,0.0,0.0,0.0,26.0,17.0,,,HSE Dublin and South East
17039,03/04/2024,Wexford General Hospital,16.0,6.0,22.0,26.0,10.0,5.0,1,HSE Dublin and South East
17041,03/04/2024,Bantry General Hospital,,,,,7.0,,,HSE South West
17042,03/04/2024,Cork University Hospital,36.0,10.0,46.0,24.0,27.0,10.0,6,HSE South West
17043,03/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
17044,03/04/2024,Mercy University Hospital,3.0,0.0,3.0,7.0,8.0,,,HSE South West
17045,03/04/2024,South Infirmary Victoria University Hospital,,,,,4.0,,,HSE South West
17046,03/04/2024,UH Kerry,20.0,7.0,27.0,14.0,20.0,7.0,,HSE South West
17048,03/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17049,03/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17050,03/04/2024,St. John's Hospital Limerick,,,,,3.0,,,HSE Mid West
17051,03/04/2024,UH Limerick,23.0,37.0,60.0,38.0,12.0,15.0,6,HSE Mid West
17053,03/04/2024,Galway University Hospital,25.0,8.0,33.0,20.0,30.0,2.0,,HSE West and North West
17054,03/04/2024,Letterkenny University Hospital,18.0,8.0,26.0,10.0,18.0,5.0,,HSE West and North West
17055,03/04/2024,Mayo University Hospital,4.0,7.0,11.0,8.0,11.0,3.0,,HSE West and North West
17056,03/04/2024,Portiuncula University Hospital,4.0,0.0,4.0,4.0,6.0,,,HSE West and North West
17057,03/04/2024,Roscommon University Hospital,,,,,4.0,,,HSE West and North West
17058,03/04/2024,Sligo University Hospital,3.0,7.0,10.0,11.0,21.0,1.0,,HSE West and North West
17061,04/04/2024,Beaumont Hospital,3.0,0.0,3.0,0.0,14.0,,,HSE Dublin and North East
17062,04/04/2024,Cavan General Hospital,1.0,0.0,1.0,2.0,2.0,,,HSE Dublin and North East
17063,04/04/2024,Connolly Hospital,11.0,0.0,11.0,9.0,6.0,,,HSE Dublin and North East
17064,04/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17065,04/04/2024,Mater Misericordiae University Hospital,6.0,0.0,6.0,6.0,19.0,,,HSE Dublin and North East
17066,04/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17067,04/04/2024,Our Lady of Lourdes Hospital,20.0,0.0,20.0,21.0,1.0,,,HSE Dublin and North East
17068,04/04/2024,Our Lady's Hospital Navan,0.0,0.0,0.0,0.0,1.0,,,HSE Dublin and North East
17070,04/04/2024,CHI at Crumlin,7.0,0.0,7.0,,4.0,,,HSE Dublin and Midlands
17071,04/04/2024,CHI at Tallaght,0.0,0.0,0.0,,1.0,,,HSE Dublin and Midlands
17072,04/04/2024,CHI at Temple Street,6.0,,6.0,,4.0,,,HSE Dublin and Midlands
17073,04/04/2024,MRH Mullingar,0.0,0.0,0.0,4.0,0.0,,,HSE Dublin and Midlands
17074,04/04/2024,MRH Portlaoise,9.0,0.0,9.0,0.0,7.0,,,HSE Dublin and Midlands
17075,04/04/2024,MRH Tullamore,0.0,0.0,0.0,21.0,1.0,,,HSE Dublin and Midlands
17076,04/04/2024,Naas General Hospital,8.0,0.0,8.0,8.0,12.0,,,HSE Dublin and Midlands
17077,04/04/2024,St. James's Hospital,29.0,0.0,29.0,38.0,26.0,3.0,,HSE Dublin and Midlands
17078,04/04/2024,St. Luke's Radiation Oncology Network,,,,,1.0,,,HSE Dublin and Midlands
17079,04/04/2024,Tallaght University Hospital,23.0,4.0,27.0,6.0,11.0,6.0,2,HSE Dublin and Midlands
17081,04/04/2024,National Rehabilitation Hospital,,,,,12.0,,,HSE Dublin and South East
17082,04/04/2024,St. Columcille's Hospital,,,,,3.0,,,HSE Dublin and South East
17083,04/04/2024,St Luke's General Hospital Kilkenny,10.0,0.0,10.0,45.0,10.0,1.0,,HSE Dublin and South East
17084,04/04/2024,St. Michael's Hospital,,,,,4.0,,,HSE Dublin and South East
17085,04/04/2024,St. Vincent's University Hospital,24.0,0.0,24.0,55.0,23.0,2.0,,HSE Dublin and South East
17086,04/04/2024,Tipperary University Hospital,15.0,0.0,15.0,2.0,15.0,4.0,,HSE Dublin and South East
17087,04/04/2024,UH Waterford,0.0,0.0,0.0,13.0,14.0,,,HSE Dublin and South East
17088,04/04/2024,Wexford General Hospital,10.0,7.0,17.0,30.0,8.0,2.0,,HSE Dublin and South East
17090,04/04/2024,Bantry General Hospital,,,,,10.0,,,HSE South West
17091,04/04/2024,Cork University Hospital,31.0,10.0,41.0,23.0,28.0,5.0,6,HSE South West
17092,04/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
17093,04/04/2024,Mercy University Hospital,10.0,0.0,10.0,6.0,9.0,,,HSE South West
17094,04/04/2024,South Infirmary Victoria University Hospital,,,,,4.0,,,HSE South West
17095,04/04/2024,UH Kerry,19.0,0.0,19.0,14.0,18.0,7.0,,HSE South West
17097,04/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17098,04/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17099,04/04/2024,St. John's Hospital Limerick,,,,,5.0,,,HSE Mid West
17100,04/04/2024,UH Limerick,20.0,35.0,55.0,52.0,12.0,16.0,,HSE Mid West
17102,04/04/2024,Galway University Hospital,61.0,1.0,62.0,20.0,30.0,7.0,1,HSE West and North West
17103,04/04/2024,Letterkenny University Hospital,7.0,8.0,15.0,9.0,19.0,6.0,,HSE West and North West
17104,04/04/2024,Mayo University Hospital,3.0,12.0,15.0,4.0,10.0,4.0,,HSE West and North West
17105,04/04/2024,Portiuncula University Hospital,5.0,0.0,5.0,6.0,7.0,,,HSE West and North West
17106,04/04/2024,Roscommon University Hospital,,,,,4.0,,,HSE West and North West
17107,04/04/2024,Sligo University Hospital,4.0,11.0,15.0,10.0,26.0,4.0,,HSE West and North West
17110,05/04/2024,Beaumont Hospital,0.0,0.0,0.0,0.0,13.0,,,HSE Dublin and North East
17111,05/04/2024,Cavan General Hospital,2.0,0.0,2.0,3.0,2.0,,,HSE Dublin and North East
17112,05/04/2024,Connolly Hospital,7.0,0.0,7.0,11.0,6.0,,,HSE Dublin and North East
17113,05/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17114,05/04/2024,Mater Misericordiae University Hospital,14.0,0.0,14.0,7.0,19.0,,,HSE Dublin and North East
17115,05/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17116,05/04/2024,Our Lady of Lourdes Hospital,23.0,0.0,23.0,27.0,1.0,,,HSE Dublin and North East
17117,05/04/2024,Our Lady's Hospital Navan,3.0,0.0,3.0,4.0,1.0,,,HSE Dublin and North East
17119,05/04/2024,CHI at Crumlin,3.0,,3.0,,4.0,1.0,,HSE Dublin and Midlands
17120,05/04/2024,CHI at Tallaght,0.0,0.0,0.0,,1.0,,,HSE Dublin and Midlands
17121,05/04/2024,CHI at Temple Street,4.0,,4.0,,4.0,1.0,,HSE Dublin and Midlands
17122,05/04/2024,MRH Mullingar,3.0,0.0,3.0,7.0,0.0,,,HSE Dublin and Midlands
17123,05/04/2024,MRH Portlaoise,10.0,0.0,10.0,10.0,6.0,1.0,,HSE Dublin and Midlands
17124,05/04/2024,MRH Tullamore,0.0,0.0,0.0,24.0,3.0,,,HSE Dublin and Midlands
17125,05/04/2024,Naas General Hospital,22.0,4.0,26.0,8.0,11.0,2.0,,HSE Dublin and Midlands
17126,05/04/2024,St. James's Hospital,29.0,0.0,29.0,37.0,25.0,3.0,,HSE Dublin and Midlands
17127,05/04/2024,St. Luke's Radiation Oncology Network,,,,,1.0,,,HSE Dublin and Midlands
17128,05/04/2024,Tallaght University Hospital,19.0,6.0,25.0,19.0,11.0,2.0,,HSE Dublin and Midlands
17130,05/04/2024,National Rehabilitation Hospital,,,,,11.0,,,HSE Dublin and South East
17131,05/04/2024,St. Columcille's Hospital,,,,,3.0,,,HSE Dublin and South East
17132,05/04/2024,St Luke's General Hospital Kilkenny,9.0,6.0,15.0,31.0,10.0,2.0,,HSE Dublin and South East
17133,05/04/2024,St. Michael's Hospital,,,,,4.0,,,HSE Dublin and South East
17134,05/04/2024,St. Vincent's University Hospital,19.0,0.0,19.0,50.0,22.0,6.0,3,HSE Dublin and South East
17135,05/04/2024,Tipperary University Hospital,13.0,0.0,13.0,8.0,14.0,3.0,,HSE Dublin and South East
17136,05/04/2024,UH Waterford,0.0,0.0,0.0,8.0,18.0,,,HSE Dublin and South East
17137,05/04/2024,Wexford General Hospital,14.0,7.0,21.0,31.0,8.0,1.0,,HSE Dublin and South East
17139,05/04/2024,Bantry General Hospital,,,,,9.0,,,HSE South West
17140,05/04/2024,Cork University Hospital,26.0,8.0,34.0,28.0,28.0,6.0,1,HSE South West
17141,05/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
17142,05/04/2024,Mercy University Hospital,17.0,2.0,19.0,6.0,7.0,6.0,1,HSE South West
17143,05/04/2024,South Infirmary Victoria University Hospital,,,,,3.0,,,HSE South West
17144,05/04/2024,UH Kerry,12.0,7.0,19.0,9.0,16.0,4.0,,HSE South West
17146,05/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17147,05/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17148,05/04/2024,St. John's Hospital Limerick,,,,,3.0,,,HSE Mid West
17149,05/04/2024,UH Limerick,18.0,36.0,54.0,45.0,12.0,18.0,6,HSE Mid West
17151,05/04/2024,Galway University Hospital,34.0,19.0,53.0,22.0,34.0,17.0,2,HSE West and North West
17152,05/04/2024,Letterkenny University Hospital,2.0,3.0,5.0,9.0,25.0,3.0,,HSE West and North West
17153,05/04/2024,Mayo University Hospital,5.0,10.0,15.0,4.0,9.0,8.0,,HSE West and North West
17154,05/04/2024,Portiuncula University Hospital,5.0,0.0,5.0,3.0,5.0,,,HSE West and North West
17155,05/04/2024,Roscommon University Hospital,,,,,6.0,,,HSE West and North West
17156,05/04/2024,Sligo University Hospital,9.0,17.0,26.0,11.0,26.0,6.0,1,HSE West and North West
17159,06/04/2024,Beaumont Hospital,0.0,0.0,0.0,0.0,10.0,,,HSE Dublin and North East
17160,06/04/2024,Cavan General Hospital,0.0,0.0,0.0,10.0,2.0,,,HSE Dublin and North East
17161,06/04/2024,Connolly Hospital,0.0,0.0,0.0,8.0,6.0,,,HSE Dublin and North East
17162,06/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17163,06/04/2024,Mater Misericordiae University Hospital,4.0,0.0,4.0,7.0,16.0,,,HSE Dublin and North East
17164,06/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17165,06/04/2024,Our Lady of Lourdes Hospital,0.0,0.0,0.0,19.0,1.0,,,HSE Dublin and North East
17166,06/04/2024,Our Lady's Hospital Navan,0.0,0.0,0.0,5.0,1.0,,,HSE Dublin and North East
17168,06/04/2024,CHI at Crumlin,0.0,,0.0,,4.0,,,HSE Dublin and Midlands
17169,06/04/2024,CHI at Tallaght,0.0,0.0,0.0,,1.0,,,HSE Dublin and Midlands
17170,06/04/2024,CHI at Temple Street,6.0,,6.0,,4.0,,,HSE Dublin and Midlands
17171,06/04/2024,MRH Mullingar,3.0,0.0,3.0,5.0,2.0,,,HSE Dublin and Midlands
17172,06/04/2024,MRH Portlaoise,0.0,0.0,0.0,7.0,6.0,,,HSE Dublin and Midlands
17173,06/04/2024,MRH Tullamore,0.0,0.0,0.0,0.0,3.0,,,HSE Dublin and Midlands
17174,06/04/2024,Naas General Hospital,26.0,4.0,30.0,5.0,13.0,2.0,,HSE Dublin and Midlands
17175,06/04/2024,St. James's Hospital,14.0,0.0,14.0,29.0,23.0,,,HSE Dublin and Midlands
17176,06/04/2024,St. Luke's Radiation Oncology Network,,,,,1.0,,,HSE Dublin and Midlands
17177,06/04/2024,Tallaght University Hospital,11.0,0.0,11.0,18.0,11.0,,,HSE Dublin and Midlands
17179,06/04/2024,National Rehabilitation Hospital,,,,,11.0,,,HSE Dublin and South East
17180,06/04/2024,St. Columcille's Hospital,,,,,2.0,,,HSE Dublin and South East
17181,06/04/2024,St Luke's General Hospital Kilkenny,4.0,0.0,4.0,27.0,11.0,,,HSE Dublin and South East
17182,06/04/2024,St. Michael's Hospital,,,,,4.0,,,HSE Dublin and South East
17183,06/04/2024,St. Vincent's University Hospital,5.0,0.0,5.0,50.0,20.0,,,HSE Dublin and South East
17184,06/04/2024,Tipperary University Hospital,6.0,0.0,6.0,7.0,14.0,2.0,,HSE Dublin and South East
17185,06/04/2024,UH Waterford,0.0,0.0,0.0,0.0,21.0,,,HSE Dublin and South East
17186,06/04/2024,Wexford General Hospital,3.0,2.0,5.0,20.0,9.0,2.0,,HSE Dublin and South East
17188,06/04/2024,Bantry General Hospital,,,,,8.0,,,HSE South West
17189,06/04/2024,Cork University Hospital,8.0,3.0,11.0,20.0,32.0,,,HSE South West
17190,06/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
17191,06/04/2024,Mercy University Hospital,9.0,1.0,10.0,8.0,7.0,2.0,,HSE South West
17192,06/04/2024,South Infirmary Victoria University Hospital,,,,,3.0,,,HSE South West
17193,06/04/2024,UH Kerry,10.0,0.0,10.0,9.0,21.0,1.0,,HSE South West
17195,06/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17196,06/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17197,06/04/2024,St. John's Hospital Limerick,,,,,3.0,,,HSE Mid West
17198,06/04/2024,UH Limerick,11.0,25.0,36.0,39.0,11.0,5.0,4,HSE Mid West
17200,06/04/2024,Galway University Hospital,4.0,11.0,15.0,22.0,32.0,8.0,,HSE West and North West
17201,06/04/2024,Letterkenny University Hospital,7.0,3.0,10.0,2.0,24.0,1.0,,HSE West and North West
17202,06/04/2024,Mayo University Hospital,6.0,7.0,13.0,0.0,9.0,1.0,,HSE West and North West
17203,06/04/2024,Portiuncula University Hospital,5.0,0.0,5.0,0.0,4.0,,,HSE West and North West
17204,06/04/2024,Roscommon University Hospital,,,,,5.0,,,HSE West and North West
17205,06/04/2024,Sligo University Hospital,1.0,5.0,6.0,8.0,27.0,2.0,,HSE West and North West
17208,07/04/2024,Beaumont Hospital,0.0,0.0,0.0,0.0,10.0,,,HSE Dublin and North East
17209,07/04/2024,Cavan General Hospital,3.0,0.0,3.0,14.0,2.0,,,HSE Dublin and North East
17210,07/04/2024,Connolly Hospital,19.0,0.0,19.0,13.0,6.0,,,HSE Dublin and North East
17211,07/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17212,07/04/2024,Mater Misericordiae University Hospital,5.0,0.0,5.0,14.0,16.0,,,HSE Dublin and North East
17213,07/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17214,07/04/2024,Our Lady of Lourdes Hospital,10.0,0.0,10.0,21.0,1.0,,,HSE Dublin and North East
17215,07/04/2024,Our Lady's Hospital Navan,0.0,0.0,0.0,5.0,1.0,,,HSE Dublin and North East
17217,07/04/2024,CHI at Crumlin,4.0,0.0,4.0,,4.0,,,HSE Dublin and Midlands
17218,07/04/2024,CHI at Tallaght,0.0,0.0,0.0,,1.0,,,HSE Dublin and Midlands
17219,07/04/2024,CHI at Temple Street,5.0,,5.0,,4.0,,,HSE Dublin and Midlands
17220,07/04/2024,MRH Mullingar,3.0,0.0,3.0,6.0,2.0,,,HSE Dublin and Midlands
17221,07/04/2024,MRH Portlaoise,1.0,0.0,1.0,9.0,6.0,,,HSE Dublin and Midlands
17222,07/04/2024,MRH Tullamore,0.0,0.0,0.0,8.0,3.0,,,HSE Dublin and Midlands
17223,07/04/2024,Naas General Hospital,17.0,4.0,21.0,8.0,13.0,8.0,,HSE Dublin and Midlands
17224,07/04/2024,St. James's Hospital,25.0,0.0,25.0,30.0,23.0,2.0,,HSE Dublin and Midlands
17225,07/04/2024,St. Luke's Radiation Oncology Network,,,,,1.0,,,HSE Dublin and Midlands
17226,07/04/2024,Tallaght University Hospital,15.0,0.0,15.0,15.0,11.0,4.0,,HSE Dublin and Midlands
17228,07/04/2024,National Rehabilitation Hospital,,,,,11.0,,,HSE Dublin and South East
17229,07/04/2024,St. Columcille's Hospital,,,,,2.0,,,HSE Dublin and South East
17230,07/04/2024,St Luke's General Hospital Kilkenny,9.0,0.0,9.0,38.0,11.0,,,HSE Dublin and South East
17231,07/04/2024,St. Michael's Hospital,,,,,4.0,,,HSE Dublin and South East
17232,07/04/2024,St. Vincent's University Hospital,16.0,0.0,16.0,62.0,20.0,1.0,,HSE Dublin and South East
17233,07/04/2024,Tipperary University Hospital,18.0,,18.0,8.0,14.0,4.0,,HSE Dublin and South East
17234,07/04/2024,UH Waterford,0.0,0.0,0.0,0.0,21.0,,,HSE Dublin and South East
17235,07/04/2024,Wexford General Hospital,5.0,4.0,9.0,32.0,9.0,1.0,,HSE Dublin and South East
17237,07/04/2024,Bantry General Hospital,,,,,8.0,,,HSE South West
17238,07/04/2024,Cork University Hospital,19.0,7.0,26.0,23.0,32.0,1.0,,HSE South West
17239,07/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
17240,07/04/2024,Mercy University Hospital,18.0,0.0,18.0,8.0,7.0,1.0,,HSE South West
17241,07/04/2024,South Infirmary Victoria University Hospital,,,,,3.0,,,HSE South West
17242,07/04/2024,UH Kerry,16.0,0.0,16.0,10.0,21.0,4.0,,HSE South West
17244,07/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17245,07/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17246,07/04/2024,St. John's Hospital Limerick,,,,,3.0,,,HSE Mid West
17247,07/04/2024,UH Limerick,15.0,34.0,49.0,34.0,10.0,17.0,1,HSE Mid West
17249,07/04/2024,Galway University Hospital,18.0,12.0,30.0,24.0,32.0,4.0,,HSE West and North West
17250,07/04/2024,Letterkenny University Hospital,2.0,5.0,7.0,8.0,24.0,2.0,,HSE West and North West
17251,07/04/2024,Mayo University Hospital,9.0,11.0,20.0,6.0,9.0,11.0,,HSE West and North West
17252,07/04/2024,Portiuncula University Hospital,0.0,5.0,5.0,5.0,4.0,,,HSE West and North West
17253,07/04/2024,Roscommon University Hospital,,,,,5.0,,,HSE West and North West
17254,07/04/2024,Sligo University Hospital,3.0,7.0,10.0,9.0,27.0,4.0,,HSE West and North West
17257,08/04/2024,Beaumont Hospital,0.0,0.0,0.0,0.0,10.0,,,HSE Dublin and North East
17258,08/04/2024,Cavan General Hospital,12.0,0.0,12.0,2.0,2.0,,,HSE Dublin and North East
17259,08/04/2024,Connolly Hospital,16.0,0.0,16.0,17.0,6.0,,,HSE Dublin and North East
17260,08/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17261,08/04/2024,Mater Misericordiae University Hospital,24.0,0.0,24.0,18.0,16.0,2.0,,HSE Dublin and North East
17262,08/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17263,08/04/2024,Our Lady of Lourdes Hospital,16.0,0.0,16.0,27.0,1.0,,,HSE Dublin and North East
17264,08/04/2024,Our Lady's Hospital Navan,1.0,0.0,1.0,11.0,1.0,,,HSE Dublin and North East
17266,08/04/2024,CHI at Crumlin,5.0,,5.0,0.0,4.0,1.0,,HSE Dublin and Midlands
17267,08/04/2024,CHI at Tallaght,5.0,0.0,5.0,0.0,1.0,,,HSE Dublin and Midlands
17268,08/04/2024,CHI at Temple Street,6.0,,6.0,0.0,4.0,,,HSE Dublin and Midlands
17269,08/04/2024,MRH Mullingar,4.0,0.0,4.0,15.0,2.0,,,HSE Dublin and Midlands
17270,08/04/2024,MRH Portlaoise,3.0,0.0,3.0,10.0,6.0,,,HSE Dublin and Midlands
17271,08/04/2024,MRH Tullamore,0.0,0.0,0.0,18.0,3.0,,,HSE Dublin and Midlands
17272,08/04/2024,Naas General Hospital,25.0,4.0,29.0,11.0,13.0,7.0,,HSE Dublin and Midlands
17273,08/04/2024,St. James's Hospital,39.0,0.0,39.0,39.0,23.0,9.0,,HSE Dublin and Midlands
17274,08/04/2024,St. Luke's Radiation Oncology Network,,,,,1.0,,,HSE Dublin and Midlands
17275,08/04/2024,Tallaght University Hospital,28.0,0.0,28.0,19.0,11.0,9.0,1,HSE Dublin and Midlands
17277,08/04/2024,National Rehabilitation Hospital,,,,,11.0,,,HSE Dublin and South East
17278,08/04/2024,St. Columcille's Hospital,,,,,2.0,,,HSE Dublin and South East
17279,08/04/2024,St Luke's General Hospital Kilkenny,8.0,3.0,11.0,51.0,11.0,2.0,,HSE Dublin and South East
17280,08/04/2024,St. Michael's Hospital,,,,,4.0,,,HSE Dublin and South East
17281,08/04/2024,St. Vincent's University Hospital,20.0,0.0,20.0,50.0,20.0,,,HSE Dublin and South East
17282,08/04/2024,Tipperary University Hospital,24.0,0.0,24.0,9.0,14.0,12.0,1,HSE Dublin and South East
17283,08/04/2024,UH Waterford,0.0,0.0,0.0,11.0,21.0,,,HSE Dublin and South East
17284,08/04/2024,Wexford General Hospital,16.0,7.0,23.0,37.0,9.0,2.0,,HSE Dublin and South East
17286,08/04/2024,Bantry General Hospital,,,,,8.0,,,HSE South West
17287,08/04/2024,Cork University Hospital,33.0,12.0,45.0,24.0,32.0,6.0,1,HSE South West
17288,08/04/2024,Mallow General Hospital,,,,,1.0,,,HSE South West
17289,08/04/2024,Mercy University Hospital,23.0,4.0,27.0,7.0,7.0,12.0,1,HSE South West
17290,08/04/2024,South Infirmary Victoria University Hospital,,,,,3.0,,,HSE South West
17291,08/04/2024,UH Kerry,15.0,5.0,20.0,10.0,21.0,4.0,,HSE South West
17293,08/04/2024,Ennis Hospital,,,,,1.0,,,HSE Mid West
17294,08/04/2024,Nenagh Hospital,,,,,1.0,,,HSE Mid West
17295,08/04/2024,St. John's Hospital Limerick,,,,,3.0,,,HSE Mid West
17296,08/04/2024,UH Limerick,13.0,36.0,49.0,41.0,10.0,26.0,5,HSE Mid West
17298,08/04/2024,Galway University Hospital,35.0,19.0,54.0,22.0,32.0,14.0,1,HSE West and North West
17299,08/04/2024,Letterkenny University Hospital,13.0,7.0,20.0,10.0,24.0,4.0,,HSE West and North West
17300,08/04/2024,Mayo University Hospital,6.0,14.0,20.0,12.0,9.0,14.0,,HSE West and North West
17301,08/04/2024,Portiuncula University Hospital,5.0,0.0,5.0,11.0,4.0,,,HSE West and North West
17302,08/04/2024,Roscommon University Hospital,,,,,5.0,,,HSE West and North West
17303,08/04/2024,Sligo University Hospital,4.0,8.0,12.0,12.0,27.0,5.0,,HSE West and North West
17306,09/04/2024,Beaumont Hospital,0.0,0.0,0.0,0.0,11.0,,,HSE Dublin and North East
17307,09/04/2024,Cavan General Hospital,10.0,0.0,10.0,3.0,2.0,,,HSE Dublin and North East
17308,09/04/2024,Connolly Hospital,18.0,0.0,18.0,18.0,6.0,,,HSE Dublin and North East
17309,09/04/2024,Louth County Hospital,,,,,0.0,,,HSE Dublin and North East
17310,09/04/2024,Mater Misericordiae University Hospital,24.0,0.0,24.0,10.0,16.0,1.0,,HSE Dublin and North East
17311,09/04/2024,National Orthopaedic Hospital Cappagh,,,,,1.0,,,HSE Dublin and North East
17312,09/04/2024,Our Lady of Lourdes Hospital,19.0,0.0,19.0,25.0,1.0,,,HSE Dublin and North East
17313,09/04/2024,Our Lady's Hospital Navan,2.0,,2.0,10.0,1.0,,,HSE Dublin and North East
17315,09/04/2024,CHI at Crumlin,2.0,,2.0,0.0,3.0,,,HSE Dublin and Midlands
17316,09/04/2024,CHI at Tallaght,4.0,1.0,5.0,,1.0,,,HSE Dublin and Midlands
